Year,industry,installations,operational_stock,industry_encoded
2016,Glass ceramics stone mineral products (non-auto,0,559,Glass ceramics stone mineral products (non-auto
2017,Glass ceramics stone mineral products (non-auto,131,690,Glass ceramics stone mineral products (non-auto
2018,Glass ceramics stone mineral products (non-auto,297,956,Glass ceramics stone mineral products (non-auto
2019,Glass ceramics stone mineral products (non-auto,182,1120,Glass ceramics stone mineral products (non-auto
2020,Glass ceramics stone mineral products (non-auto,125,1234,Glass ceramics stone mineral products (non-auto
2021,Glass ceramics stone mineral products (non-auto,277,1495,Glass ceramics stone mineral products (non-auto
1993,Household/domestic appliances,0,0,Household/domestic appliances
1994,Household/domestic appliances,0,0,Household/domestic appliances
1995,Household/domestic appliances,0,0,Household/domestic appliances
1996,Household/domestic appliances,0,0,Household/domestic appliances
1997,Household/domestic appliances,0,0,Household/domestic appliances
1998,Household/domestic appliances,0,0,Household/domestic appliances
1999,Household/domestic appliances,0,0,Household/domestic appliances
2000,Household/domestic appliances,0,0,Household/domestic appliances
2001,Household/domestic appliances,0,0,Household/domestic appliances
2002,Household/domestic appliances,0,0,Household/domestic appliances
2003,Household/domestic appliances,0,0,Household/domestic appliances
2004,Household/domestic appliances,0,0,Household/domestic appliances
2005,Household/domestic appliances,0,0,Household/domestic appliances
2006,Household/domestic appliances,0,0,Household/domestic appliances
2007,Household/domestic appliances,1,1,Household/domestic appliances
2008,Household/domestic appliances,111,112,Household/domestic appliances
2009,Household/domestic appliances,18,130,Household/domestic appliances
2010,Household/domestic appliances,83,213,Household/domestic appliances
2011,Household/domestic appliances,38,251,Household/domestic appliances
2012,Household/domestic appliances,35,286,Household/domestic appliances
2013,Household/domestic appliances,25,311,Household/domestic appliances
2014,Household/domestic appliances,24,335,Household/domestic appliances
2015,Household/domestic appliances,59,394,Household/domestic appliances
2016,Household/domestic appliances,94,488,Household/domestic appliances
2017,Household/domestic appliances,0,568,Household/domestic appliances
2018,Household/domestic appliances,48,616,Household/domestic appliances
2019,Household/domestic appliances,189,804,Household/domestic appliances
2020,Household/domestic appliances,134,827,Household/domestic appliances
2021,Household/domestic appliances,74,883,Household/domestic appliances
1993,Industrial machinery,0,0,Industrial machinery
1994,Industrial machinery,0,0,Industrial machinery
1995,Industrial machinery,0,0,Industrial machinery
1996,Industrial machinery,0,0,Industrial machinery
1997,Industrial machinery,0,0,Industrial machinery
1998,Industrial machinery,0,0,Industrial machinery
1999,Industrial machinery,0,0,Industrial machinery
2000,Industrial machinery,0,0,Industrial machinery
2001,Industrial machinery,0,0,Industrial machinery
2002,Industrial machinery,0,0,Industrial machinery
2003,Industrial machinery,0,0,Industrial machinery
2004,Industrial machinery,0,0,Industrial machinery
2005,Industrial machinery,0,0,Industrial machinery
2006,Industrial machinery,0,0,Industrial machinery
2007,Industrial machinery,1,1,Industrial machinery
2008,Industrial machinery,71,72,Industrial machinery
2009,Industrial machinery,56,128,Industrial machinery
2010,Industrial machinery,51,179,Industrial machinery
2011,Industrial machinery,999,1178,Industrial machinery
2012,Industrial machinery,753,1931,Industrial machinery
2013,Industrial machinery,296,2227,Industrial machinery
2014,Industrial machinery,215,2442,Industrial machinery
2015,Industrial machinery,333,2775,Industrial machinery
2016,Industrial machinery,338,3113,Industrial machinery
2017,Industrial machinery,234,3347,Industrial machinery
2018,Industrial machinery,363,3710,Industrial machinery
2019,Industrial machinery,1085,4794,Industrial machinery
2020,Industrial machinery,309,5032,Industrial machinery
2021,Industrial machinery,508,5484,Industrial machinery
1993,Info communication equipment domestic and prof. (,0,0,Info communication equipment domestic and prof. (
1994,Info communication equipment domestic and prof. (,0,0,Info communication equipment domestic and prof. (
1995,Info communication equipment domestic and prof. (,0,0,Info communication equipment domestic and prof. (
1996,Info communication equipment domestic and prof. (,0,0,Info communication equipment domestic and prof. (
1997,Info communication equipment domestic and prof. (,0,0,Info communication equipment domestic and prof. (
1998,Info communication equipment domestic and prof. (,0,0,Info communication equipment domestic and prof. (
1999,Info communication equipment domestic and prof. (,0,0,Info communication equipment domestic and prof. (
2000,Info communication equipment domestic and prof. (,0,0,Info communication equipment domestic and prof. (
2001,Info communication equipment domestic and prof. (,0,0,Info communication equipment domestic and prof. (
2002,Info communication equipment domestic and prof. (,0,0,Info communication equipment domestic and prof. (
2003,Info communication equipment domestic and prof. (,0,0,Info communication equipment domestic and prof. (
2004,Info communication equipment domestic and prof. (,0,0,Info communication equipment domestic and prof. (
2005,Info communication equipment domestic and prof. (,0,0,Info communication equipment domestic and prof. (
2006,Info communication equipment domestic and prof. (,0,0,Info communication equipment domestic and prof. (
2007,Info communication equipment domestic and prof. (,0,0,Info communication equipment domestic and prof. (
2008,Info communication equipment domestic and prof. (,0,0,Info communication equipment domestic and prof. (
2009,Info communication equipment domestic and prof. (,84,84,Info communication equipment domestic and prof. (
2010,Info communication equipment domestic and prof. (,58,142,Info communication equipment domestic and prof. (
2011,Info communication equipment domestic and prof. (,27,169,Info communication equipment domestic and prof. (
2012,Info communication equipment domestic and prof. (,155,324,Info communication equipment domestic and prof. (
2013,Info communication equipment domestic and prof. (,105,429,Info communication equipment domestic and prof. (
2014,Info communication equipment domestic and prof. (,102,531,Info communication equipment domestic and prof. (
2015,Info communication equipment domestic and prof. (,358,889,Info communication equipment domestic and prof. (
2016,Info communication equipment domestic and prof. (,51,940,Info communication equipment domestic and prof. (
2017,Info communication equipment domestic and prof. (,84,1024,Info communication equipment domestic and prof. (
2018,Info communication equipment domestic and prof. (,493,1517,Info communication equipment domestic and prof. (
2019,Info communication equipment domestic and prof. (,473,1990,Info communication equipment domestic and prof. (
2020,Info communication equipment domestic and prof. (,182,2172,Info communication equipment domestic and prof. (
2021,Info communication equipment domestic and prof. (,98,2186,Info communication equipment domestic and prof. (
1993,Medical precision optical instruments,0,0,Medical precision optical instruments
1994,Medical precision optical instruments,0,0,Medical precision optical instruments
1995,Medical precision optical instruments,0,0,Medical precision optical instruments
1996,Medical precision optical instruments,0,0,Medical precision optical instruments
1997,Medical precision optical instruments,0,0,Medical precision optical instruments
1998,Medical precision optical instruments,0,0,Medical precision optical instruments
1999,Medical precision optical instruments,0,0,Medical precision optical instruments
2000,Medical precision optical instruments,0,0,Medical precision optical instruments
2001,Medical precision optical instruments,0,0,Medical precision optical instruments
2002,Medical precision optical instruments,0,0,Medical precision optical instruments
2003,Medical precision optical instruments,0,0,Medical precision optical instruments
2004,Medical precision optical instruments,0,0,Medical precision optical instruments
2005,Medical precision optical instruments,0,0,Medical precision optical instruments
2006,Medical precision optical instruments,0,0,Medical precision optical instruments
2007,Medical precision optical instruments,0,0,Medical precision optical instruments
2008,Medical precision optical instruments,0,0,Medical precision optical instruments
2009,Medical precision optical instruments,3,3,Medical precision optical instruments
2010,Medical precision optical instruments,4,7,Medical precision optical instruments
2011,Medical precision optical instruments,387,394,Medical precision optical instruments
2012,Medical precision optical instruments,190,584,Medical precision optical instruments
2013,Medical precision optical instruments,320,904,Medical precision optical instruments
2014,Medical precision optical instruments,336,1240,Medical precision optical instruments
2015,Medical precision optical instruments,497,1737,Medical precision optical instruments
2016,Medical precision optical instruments,438,2175,Medical precision optical instruments
2017,Medical precision optical instruments,530,2705,Medical precision optical instruments
2018,Medical precision optical instruments,484,3189,Medical precision optical instruments
2019,Medical precision optical instruments,294,3483,Medical precision optical instruments
2020,Medical precision optical instruments,273,3756,Medical precision optical instruments
2021,Medical precision optical instruments,418,4171,Medical precision optical instruments
1993,Metal,0,0,Metal
1994,Metal,0,0,Metal
1995,Metal,0,0,Metal
1996,Metal,0,0,Metal
1997,Metal,0,0,Metal
1998,Metal,0,0,Metal
1999,Metal,0,0,Metal
2000,Metal,0,0,Metal
2001,Metal,0,0,Metal
2002,Metal,0,0,Metal
2003,Metal,0,0,Metal
2004,Metal,1378,1378,Metal
2005,Metal,2086,3464,Metal
2006,Metal,1446,4910,Metal
2007,Metal,1381,6291,Metal
2008,Metal,1596,7887,Metal
2009,Metal,539,8426,Metal
2010,Metal,1189,9615,Metal
2011,Metal,1685,11300,Metal
2012,Metal,1933,13233,Metal
2013,Metal,2310,15543,Metal
2014,Metal,2384,17927,Metal
2015,Metal,2204,20131,Metal
2016,Metal,1895,20648,Metal
2017,Metal,2603,21165,Metal
2018,Metal,3180,22899,Metal
2019,Metal,3785,25303,Metal
2020,Metal,2294,26001,Metal
2021,Metal,3814,29297,Metal
1993,Metal (AutoParts),0,0,Metal (AutoParts)
1994,Metal (AutoParts),0,0,Metal (AutoParts)
1995,Metal (AutoParts),0,0,Metal (AutoParts)
1996,Metal (AutoParts),0,0,Metal (AutoParts)
1997,Metal (AutoParts),0,0,Metal (AutoParts)
1998,Metal (AutoParts),0,0,Metal (AutoParts)
1999,Metal (AutoParts),0,0,Metal (AutoParts)
2000,Metal (AutoParts),0,0,Metal (AutoParts)
2001,Metal (AutoParts),0,0,Metal (AutoParts)
2002,Metal (AutoParts),0,0,Metal (AutoParts)
2003,Metal (AutoParts),0,0,Metal (AutoParts)
2004,Metal (AutoParts),0,0,Metal (AutoParts)
2005,Metal (AutoParts),0,0,Metal (AutoParts)
2006,Metal (AutoParts),0,0,Metal (AutoParts)
2007,Metal (AutoParts),0,0,Metal (AutoParts)
2008,Metal (AutoParts),0,0,Metal (AutoParts)
2009,Metal (AutoParts),0,0,Metal (AutoParts)
2010,Metal (AutoParts),0,0,Metal (AutoParts)
2011,Metal (AutoParts),1007,1007,Metal (AutoParts)
2012,Metal (AutoParts),899,1906,Metal (AutoParts)
2013,Metal (AutoParts),830,2736,Metal (AutoParts)
2014,Metal (AutoParts),2148,4884,Metal (AutoParts)
2015,Metal (AutoParts),1666,6550,Metal (AutoParts)
2016,Metal (AutoParts),1567,8117,Metal (AutoParts)
2017,Metal (AutoParts),1934,10051,Metal (AutoParts)
2018,Metal (AutoParts),1786,11837,Metal (AutoParts)
2019,Metal (AutoParts),1484,13321,Metal (AutoParts)
2020,Metal (AutoParts),912,14233,Metal (AutoParts)
2021,Metal (AutoParts),1068,15301,Metal (AutoParts)
1993,Metal products (non-automotive),0,0,Metal products (non-automotive)
1994,Metal products (non-automotive),0,0,Metal products (non-automotive)
1995,Metal products (non-automotive),0,0,Metal products (non-automotive)
1996,Metal products (non-automotive),0,0,Metal products (non-automotive)
1997,Metal products (non-automotive),0,0,Metal products (non-automotive)
1998,Metal products (non-automotive),0,0,Metal products (non-automotive)
1999,Metal products (non-automotive),0,0,Metal products (non-automotive)
2000,Metal products (non-automotive),0,0,Metal products (non-automotive)
2001,Metal products (non-automotive),0,0,Metal products (non-automotive)
2002,Metal products (non-automotive),0,0,Metal products (non-automotive)
2003,Metal products (non-automotive),0,0,Metal products (non-automotive)
2004,Metal products (non-automotive),1378,1378,Metal products (non-automotive)
2005,Metal products (non-automotive),2086,3464,Metal products (non-automotive)
2006,Metal products (non-automotive),1446,4910,Metal products (non-automotive)
2007,Metal products (non-automotive),1380,6290,Metal products (non-automotive)
2008,Metal products (non-automotive),1517,7807,Metal products (non-automotive)
2009,Metal products (non-automotive),473,8280,Metal products (non-automotive)
2010,Metal products (non-automotive),1104,9384,Metal products (non-automotive)
2011,Metal products (non-automotive),466,9850,Metal products (non-automotive)
2012,Metal products (non-automotive),446,10296,Metal products (non-automotive)
2013,Metal products (non-automotive),513,10809,Metal products (non-automotive)
2014,Metal products (non-automotive),679,11488,Metal products (non-automotive)
2015,Metal products (non-automotive),634,12122,Metal products (non-automotive)
2016,Metal products (non-automotive),680,11424,Metal products (non-automotive)
2017,Metal products (non-automotive),967,10305,Metal products (non-automotive)
2018,Metal products (non-automotive),1177,10036,Metal products (non-automotive)
2019,Metal products (non-automotive),1298,9954,Metal products (non-automotive)
2020,Metal products (non-automotive),385,8822,Metal products (non-automotive)
2021,Metal products (non-automotive),685,9034,Metal products (non-automotive)
1993,Metal unspecified,0,0,Metal unspecified
1994,Metal unspecified,0,0,Metal unspecified
1995,Metal unspecified,0,0,Metal unspecified
1996,Metal unspecified,0,0,Metal unspecified
1997,Metal unspecified,0,0,Metal unspecified
1998,Metal unspecified,0,0,Metal unspecified
1999,Metal unspecified,0,0,Metal unspecified
2000,Metal unspecified,0,0,Metal unspecified
2001,Metal unspecified,0,0,Metal unspecified
2002,Metal unspecified,0,0,Metal unspecified
2003,Metal unspecified,0,0,Metal unspecified
2004,Metal unspecified,0,0,Metal unspecified
2005,Metal unspecified,0,0,Metal unspecified
2006,Metal unspecified,0,0,Metal unspecified
2007,Metal unspecified,0,0,Metal unspecified
2008,Metal unspecified,0,0,Metal unspecified
2009,Metal unspecified,0,0,Metal unspecified
2010,Metal unspecified,0,0,Metal unspecified
2011,Metal unspecified,0,0,Metal unspecified
2012,Metal unspecified,0,0,Metal unspecified
2013,Metal unspecified,0,0,Metal unspecified
2014,Metal unspecified,0,0,Metal unspecified
2015,Metal unspecified,0,0,Metal unspecified
2016,Metal unspecified,0,0,Metal unspecified
2017,Metal unspecified,10,10,Metal unspecified
2018,Metal unspecified,0,10,Metal unspecified
2019,Metal unspecified,0,10,Metal unspecified
2020,Metal unspecified,0,10,Metal unspecified
2021,Metal unspecified,0,31,Metal unspecified
1993,Motor vehicles engines and bodies,0,0,Motor vehicles engines and bodies
1994,Motor vehicles engines and bodies,0,0,Motor vehicles engines and bodies
1995,Motor vehicles engines and bodies,0,0,Motor vehicles engines and bodies
1996,Motor vehicles engines and bodies,0,0,Motor vehicles engines and bodies
1997,Motor vehicles engines and bodies,0,0,Motor vehicles engines and bodies
1998,Motor vehicles engines and bodies,0,0,Motor vehicles engines and bodies
1999,Motor vehicles engines and bodies,0,0,Motor vehicles engines and bodies
2000,Motor vehicles engines and bodies,0,0,Motor vehicles engines and bodies
2001,Motor vehicles engines and bodies,0,0,Motor vehicles engines and bodies
2002,Motor vehicles engines and bodies,0,0,Motor vehicles engines and bodies
2003,Motor vehicles engines and bodies,0,0,Motor vehicles engines and bodies
2004,Motor vehicles engines and bodies,4701,4701,Motor vehicles engines and bodies
2005,Motor vehicles engines and bodies,8172,12873,Motor vehicles engines and bodies
2006,Motor vehicles engines and bodies,3984,16857,Motor vehicles engines and bodies
2007,Motor vehicles engines and bodies,5701,22558,Motor vehicles engines and bodies
2008,Motor vehicles engines and bodies,3276,25834,Motor vehicles engines and bodies
2009,Motor vehicles engines and bodies,2549,28383,Motor vehicles engines and bodies
2010,Motor vehicles engines and bodies,3060,31443,Motor vehicles engines and bodies
2011,Motor vehicles engines and bodies,4487,35930,Motor vehicles engines and bodies
2012,Motor vehicles engines and bodies,7383,43313,Motor vehicles engines and bodies
2013,Motor vehicles engines and bodies,5731,49044,Motor vehicles engines and bodies
2014,Motor vehicles engines and bodies,6607,55651,Motor vehicles engines and bodies
2015,Motor vehicles engines and bodies,4801,60452,Motor vehicles engines and bodies
2016,Motor vehicles engines and bodies,8597,64348,Motor vehicles engines and bodies
2017,Motor vehicles engines and bodies,6206,62382,Motor vehicles engines and bodies
2018,Motor vehicles engines and bodies,4719,63117,Motor vehicles engines and bodies
2019,Motor vehicles engines and bodies,5403,62819,Motor vehicles engines and bodies
2020,Motor vehicles engines and bodies,5366,64909,Motor vehicles engines and bodies
2021,Motor vehicles engines and bodies,4126,66486,Motor vehicles engines and bodies
1993,Other (AutoParts),0,0,Other (AutoParts)
1994,Other (AutoParts),0,0,Other (AutoParts)
1995,Other (AutoParts),0,0,Other (AutoParts)
1996,Other (AutoParts),0,0,Other (AutoParts)
1997,Other (AutoParts),0,0,Other (AutoParts)
1998,Other (AutoParts),0,0,Other (AutoParts)
1999,Other (AutoParts),0,0,Other (AutoParts)
2000,Other (AutoParts),0,0,Other (AutoParts)
2001,Other (AutoParts),0,0,Other (AutoParts)
2002,Other (AutoParts),0,0,Other (AutoParts)
2003,Other (AutoParts),0,0,Other (AutoParts)
2004,Other (AutoParts),0,0,Other (AutoParts)
2005,Other (AutoParts),0,0,Other (AutoParts)
2006,Other (AutoParts),0,0,Other (AutoParts)
2007,Other (AutoParts),0,0,Other (AutoParts)
2008,Other (AutoParts),0,0,Other (AutoParts)
2009,Other (AutoParts),0,0,Other (AutoParts)
2010,Other (AutoParts),0,0,Other (AutoParts)
2011,Other (AutoParts),1,1,Other (AutoParts)
2012,Other (AutoParts),238,239,Other (AutoParts)
2013,Other (AutoParts),270,509,Other (AutoParts)
2014,Other (AutoParts),735,1244,Other (AutoParts)
2015,Other (AutoParts),0,1534,Other (AutoParts)
2016,Other (AutoParts),0,2033,Other (AutoParts)
2017,Other (AutoParts),5779,7812,Other (AutoParts)
2018,Other (AutoParts),6875,14687,Other (AutoParts)
2019,Other (AutoParts),4560,19247,Other (AutoParts)
2020,Other (AutoParts),3234,22481,Other (AutoParts)
2021,Other (AutoParts),3366,25847,Other (AutoParts)
1993,Other vehicles,0,0,Other vehicles
1994,Other vehicles,0,0,Other vehicles
1995,Other vehicles,0,0,Other vehicles
1996,Other vehicles,0,0,Other vehicles
1997,Other vehicles,0,0,Other vehicles
1998,Other vehicles,0,0,Other vehicles
1999,Other vehicles,0,0,Other vehicles
2000,Other vehicles,0,0,Other vehicles
2001,Other vehicles,0,0,Other vehicles
2002,Other vehicles,0,0,Other vehicles
2003,Other vehicles,0,0,Other vehicles
2004,Other vehicles,0,0,Other vehicles
2005,Other vehicles,0,0,Other vehicles
2006,Other vehicles,17,17,Other vehicles
2007,Other vehicles,22,39,Other vehicles
2008,Other vehicles,30,69,Other vehicles
2009,Other vehicles,19,88,Other vehicles
2010,Other vehicles,9,97,Other vehicles
2011,Other vehicles,56,153,Other vehicles
2012,Other vehicles,40,193,Other vehicles
2013,Other vehicles,88,281,Other vehicles
2014,Other vehicles,138,419,Other vehicles
2015,Other vehicles,128,547,Other vehicles
2016,Other vehicles,115,662,Other vehicles
2017,Other vehicles,84,746,Other vehicles
2018,Other vehicles,188,917,Other vehicles
2019,Other vehicles,215,1110,Other vehicles
2020,Other vehicles,82,1162,Other vehicles
2021,Other vehicles,198,1341,Other vehicles
1993,Paper,0,0,Paper
1994,Paper,0,0,Paper
1995,Paper,0,0,Paper
1996,Paper,0,0,Paper
1997,Paper,0,0,Paper
1998,Paper,0,0,Paper
1999,Paper,0,0,Paper
2000,Paper,0,0,Paper
2001,Paper,0,0,Paper
2002,Paper,0,0,Paper
2003,Paper,0,0,Paper
2004,Paper,0,0,Paper
2005,Paper,0,0,Paper
2006,Paper,0,0,Paper
2007,Paper,2,2,Paper
2008,Paper,0,2,Paper
2009,Paper,3,5,Paper
2010,Paper,8,13,Paper
2011,Paper,113,126,Paper
2012,Paper,25,151,Paper
2013,Paper,30,181,Paper
2014,Paper,32,213,Paper
2015,Paper,66,279,Paper
2016,Paper,32,311,Paper
2017,Paper,49,360,Paper
2018,Paper,52,412,Paper
2019,Paper,79,489,Paper
2020,Paper,42,531,Paper
2021,Paper,37,565,Paper
1993,Pharmaceuticals cosmetics,0,0,Pharmaceuticals cosmetics
1994,Pharmaceuticals cosmetics,0,0,Pharmaceuticals cosmetics
1995,Pharmaceuticals cosmetics,0,0,Pharmaceuticals cosmetics
1996,Pharmaceuticals cosmetics,0,0,Pharmaceuticals cosmetics
1997,Pharmaceuticals cosmetics,0,0,Pharmaceuticals cosmetics
1998,Pharmaceuticals cosmetics,0,0,Pharmaceuticals cosmetics
1999,Pharmaceuticals cosmetics,0,0,Pharmaceuticals cosmetics
2000,Pharmaceuticals cosmetics,0,0,Pharmaceuticals cosmetics
2001,Pharmaceuticals cosmetics,0,0,Pharmaceuticals cosmetics
2002,Pharmaceuticals cosmetics,0,0,Pharmaceuticals cosmetics
2003,Pharmaceuticals cosmetics,0,0,Pharmaceuticals cosmetics
2004,Pharmaceuticals cosmetics,230,230,Pharmaceuticals cosmetics
2005,Pharmaceuticals cosmetics,381,611,Pharmaceuticals cosmetics
2006,Pharmaceuticals cosmetics,285,896,Pharmaceuticals cosmetics
2007,Pharmaceuticals cosmetics,348,1244,Pharmaceuticals cosmetics
2008,Pharmaceuticals cosmetics,397,1641,Pharmaceuticals cosmetics
2009,Pharmaceuticals cosmetics,348,1989,Pharmaceuticals cosmetics
2010,Pharmaceuticals cosmetics,602,2591,Pharmaceuticals cosmetics
2011,Pharmaceuticals cosmetics,286,2877,Pharmaceuticals cosmetics
2012,Pharmaceuticals cosmetics,313,3190,Pharmaceuticals cosmetics
2013,Pharmaceuticals cosmetics,890,4080,Pharmaceuticals cosmetics
2014,Pharmaceuticals cosmetics,536,4616,Pharmaceuticals cosmetics
2015,Pharmaceuticals cosmetics,448,5064,Pharmaceuticals cosmetics
2016,Pharmaceuticals cosmetics,554,5388,Pharmaceuticals cosmetics
2017,Pharmaceuticals cosmetics,681,5688,Pharmaceuticals cosmetics
2018,Pharmaceuticals cosmetics,1158,6561,Pharmaceuticals cosmetics
2019,Pharmaceuticals cosmetics,937,7150,Pharmaceuticals cosmetics
2020,Pharmaceuticals cosmetics,1317,8070,Pharmaceuticals cosmetics
2021,Pharmaceuticals cosmetics,1698,9420,Pharmaceuticals cosmetics
1993,Plastic and chemical products,0,0,Plastic and chemical products
1994,Plastic and chemical products,0,0,Plastic and chemical products
1995,Plastic and chemical products,0,0,Plastic and chemical products
1996,Plastic and chemical products,0,0,Plastic and chemical products
1997,Plastic and chemical products,0,0,Plastic and chemical products
1998,Plastic and chemical products,0,0,Plastic and chemical products
1999,Plastic and chemical products,0,0,Plastic and chemical products
2000,Plastic and chemical products,0,0,Plastic and chemical products
2001,Plastic and chemical products,0,0,Plastic and chemical products
2002,Plastic and chemical products,0,0,Plastic and chemical products
2003,Plastic and chemical products,0,0,Plastic and chemical products
2004,Plastic and chemical products,1146,1146,Plastic and chemical products
2005,Plastic and chemical products,1575,2721,Plastic and chemical products
2006,Plastic and chemical products,1698,4419,Plastic and chemical products
2007,Plastic and chemical products,1546,5965,Plastic and chemical products
2008,Plastic and chemical products,1394,7359,Plastic and chemical products
2009,Plastic and chemical products,925,8284,Plastic and chemical products
2010,Plastic and chemical products,1551,9835,Plastic and chemical products
2011,Plastic and chemical products,1181,11016,Plastic and chemical products
2012,Plastic and chemical products,1482,12498,Plastic and chemical products
2013,Plastic and chemical products,2334,14832,Plastic and chemical products
2014,Plastic and chemical products,2065,16897,Plastic and chemical products
2015,Plastic and chemical products,1932,18829,Plastic and chemical products
2016,Plastic and chemical products,2093,19776,Plastic and chemical products
2017,Plastic and chemical products,2281,20482,Plastic and chemical products
2018,Plastic and chemical products,2837,21621,Plastic and chemical products
2019,Plastic and chemical products,2491,22566,Plastic and chemical products
2020,Plastic and chemical products,2661,23833,Plastic and chemical products
2021,Plastic and chemical products,3466,26374,Plastic and chemical products
1993,Rubber and plastic (AutoParts),0,0,Rubber and plastic (AutoParts)
1994,Rubber and plastic (AutoParts),0,0,Rubber and plastic (AutoParts)
1995,Rubber and plastic (AutoParts),0,0,Rubber and plastic (AutoParts)
1996,Rubber and plastic (AutoParts),0,0,Rubber and plastic (AutoParts)
1997,Rubber and plastic (AutoParts),0,0,Rubber and plastic (AutoParts)
1998,Rubber and plastic (AutoParts),0,0,Rubber and plastic (AutoParts)
1999,Rubber and plastic (AutoParts),0,0,Rubber and plastic (AutoParts)
2000,Rubber and plastic (AutoParts),0,0,Rubber and plastic (AutoParts)
2001,Rubber and plastic (AutoParts),0,0,Rubber and plastic (AutoParts)
2002,Rubber and plastic (AutoParts),0,0,Rubber and plastic (AutoParts)
2003,Rubber and plastic (AutoParts),0,0,Rubber and plastic (AutoParts)
2004,Rubber and plastic (AutoParts),0,0,Rubber and plastic (AutoParts)
2005,Rubber and plastic (AutoParts),0,0,Rubber and plastic (AutoParts)
2006,Rubber and plastic (AutoParts),0,0,Rubber and plastic (AutoParts)
2007,Rubber and plastic (AutoParts),0,0,Rubber and plastic (AutoParts)
2008,Rubber and plastic (AutoParts),0,0,Rubber and plastic (AutoParts)
2009,Rubber and plastic (AutoParts),0,0,Rubber and plastic (AutoParts)
2010,Rubber and plastic (AutoParts),0,0,Rubber and plastic (AutoParts)
2011,Rubber and plastic (AutoParts),351,351,Rubber and plastic (AutoParts)
2012,Rubber and plastic (AutoParts),406,757,Rubber and plastic (AutoParts)
2013,Rubber and plastic (AutoParts),296,1053,Rubber and plastic (AutoParts)
2014,Rubber and plastic (AutoParts),568,1621,Rubber and plastic (AutoParts)
2015,Rubber and plastic (AutoParts),605,2226,Rubber and plastic (AutoParts)
2016,Rubber and plastic (AutoParts),618,2844,Rubber and plastic (AutoParts)
2017,Rubber and plastic (AutoParts),707,3551,Rubber and plastic (AutoParts)
2018,Rubber and plastic (AutoParts),576,4127,Rubber and plastic (AutoParts)
2019,Rubber and plastic (AutoParts),444,4571,Rubber and plastic (AutoParts)
2020,Rubber and plastic (AutoParts),335,4906,Rubber and plastic (AutoParts)
2021,Rubber and plastic (AutoParts),547,5453,Rubber and plastic (AutoParts)
1993,Rubber and plastic products (non-automotive),0,0,Rubber and plastic products (non-automotive)
1994,Rubber and plastic products (non-automotive),0,0,Rubber and plastic products (non-automotive)
1995,Rubber and plastic products (non-automotive),0,0,Rubber and plastic products (non-automotive)
1996,Rubber and plastic products (non-automotive),0,0,Rubber and plastic products (non-automotive)
1997,Rubber and plastic products (non-automotive),0,0,Rubber and plastic products (non-automotive)
1998,Rubber and plastic products (non-automotive),0,0,Rubber and plastic products (non-automotive)
1999,Rubber and plastic products (non-automotive),0,0,Rubber and plastic products (non-automotive)
2000,Rubber and plastic products (non-automotive),0,0,Rubber and plastic products (non-automotive)
2001,Rubber and plastic products (non-automotive),0,0,Rubber and plastic products (non-automotive)
2002,Rubber and plastic products (non-automotive),0,0,Rubber and plastic products (non-automotive)
2003,Rubber and plastic products (non-automotive),0,0,Rubber and plastic products (non-automotive)
2004,Rubber and plastic products (non-automotive),916,916,Rubber and plastic products (non-automotive)
2005,Rubber and plastic products (non-automotive),1194,2110,Rubber and plastic products (non-automotive)
2006,Rubber and plastic products (non-automotive),1413,3523,Rubber and plastic products (non-automotive)
2007,Rubber and plastic products (non-automotive),1198,4721,Rubber and plastic products (non-automotive)
2008,Rubber and plastic products (non-automotive),997,5718,Rubber and plastic products (non-automotive)
2009,Rubber and plastic products (non-automotive),577,6295,Rubber and plastic products (non-automotive)
2010,Rubber and plastic products (non-automotive),949,7244,Rubber and plastic products (non-automotive)
2011,Rubber and plastic products (non-automotive),870,8114,Rubber and plastic products (non-automotive)
2012,Rubber and plastic products (non-automotive),1149,9263,Rubber and plastic products (non-automotive)
2013,Rubber and plastic products (non-automotive),1425,10688,Rubber and plastic products (non-automotive)
2014,Rubber and plastic products (non-automotive),1512,12200,Rubber and plastic products (non-automotive)
2015,Rubber and plastic products (non-automotive),1439,13639,Rubber and plastic products (non-automotive)
2016,Rubber and plastic products (non-automotive),1506,14229,Rubber and plastic products (non-automotive)
2017,Rubber and plastic products (non-automotive),1590,14625,Rubber and plastic products (non-automotive)
2018,Rubber and plastic products (non-automotive),1663,14875,Rubber and plastic products (non-automotive)
2019,Rubber and plastic products (non-automotive),1539,15216,Rubber and plastic products (non-automotive)
2020,Rubber and plastic products (non-automotive),1323,15542,Rubber and plastic products (non-automotive)
2021,Rubber and plastic products (non-automotive),1735,16700,Rubber and plastic products (non-automotive)
1993,Semiconductors LCD LED,0,0,Semiconductors LCD LED
1994,Semiconductors LCD LED,0,0,Semiconductors LCD LED
1995,Semiconductors LCD LED,0,0,Semiconductors LCD LED
1996,Semiconductors LCD LED,0,0,Semiconductors LCD LED
1997,Semiconductors LCD LED,0,0,Semiconductors LCD LED
1998,Semiconductors LCD LED,0,0,Semiconductors LCD LED
1999,Semiconductors LCD LED,0,0,Semiconductors LCD LED
2000,Semiconductors LCD LED,0,0,Semiconductors LCD LED
2001,Semiconductors LCD LED,0,0,Semiconductors LCD LED
2002,Semiconductors LCD LED,0,0,Semiconductors LCD LED
