Year,industry,installations,operational_stock,industry_encoded
2011,Automotive parts,3939,27041,Automotive parts
2012,Automotive parts,4284,31325,Automotive parts
2013,Automotive parts,4589,35914,Automotive parts
2014,Automotive parts,7004,42918,Automotive parts
2015,Automotive parts,7418,50336,Automotive parts
2016,Automotive parts,7714,54100,Automotive parts
2017,Automotive parts,9129,58247,Automotive parts
2018,Automotive parts,10527,65181,Automotive parts
2019,Automotive parts,7557,69147,Automotive parts
2020,Automotive parts,5128,70828,Automotive parts
2021,Automotive parts,5656,75253,Automotive parts
1993,Automotive unspecified,0,0,Automotive unspecified
1994,Automotive unspecified,0,0,Automotive unspecified
1995,Automotive unspecified,0,0,Automotive unspecified
1996,Automotive unspecified,0,0,Automotive unspecified
1997,Automotive unspecified,0,0,Automotive unspecified
1998,Automotive unspecified,0,0,Automotive unspecified
1999,Automotive unspecified,0,0,Automotive unspecified
2000,Automotive unspecified,0,0,Automotive unspecified
2001,Automotive unspecified,0,0,Automotive unspecified
2002,Automotive unspecified,0,0,Automotive unspecified
2003,Automotive unspecified,0,0,Automotive unspecified
2004,Automotive unspecified,0,0,Automotive unspecified
2005,Automotive unspecified,0,0,Automotive unspecified
2006,Automotive unspecified,0,0,Automotive unspecified
2007,Automotive unspecified,0,0,Automotive unspecified
2008,Automotive unspecified,0,0,Automotive unspecified
2009,Automotive unspecified,0,0,Automotive unspecified
2010,Automotive unspecified,0,0,Automotive unspecified
2011,Automotive unspecified,0,0,Automotive unspecified
2012,Automotive unspecified,0,0,Automotive unspecified
2013,Automotive unspecified,0,0,Automotive unspecified
2014,Automotive unspecified,0,0,Automotive unspecified
2015,Automotive unspecified,54,54,Automotive unspecified
2016,Automotive unspecified,0,54,Automotive unspecified
2017,Automotive unspecified,62,116,Automotive unspecified
2018,Automotive unspecified,0,116,Automotive unspecified
2019,Automotive unspecified,0,116,Automotive unspecified
2020,Automotive unspecified,0,116,Automotive unspecified
2021,Automotive unspecified,0,116,Automotive unspecified
1993,Basic metals,0,0,Basic metals
1994,Basic metals,0,0,Basic metals
1995,Basic metals,0,0,Basic metals
1996,Basic metals,0,0,Basic metals
1997,Basic metals,0,0,Basic metals
1998,Basic metals,0,0,Basic metals
1999,Basic metals,0,0,Basic metals
2000,Basic metals,0,0,Basic metals
2001,Basic metals,0,0,Basic metals
2002,Basic metals,0,0,Basic metals
2003,Basic metals,0,0,Basic metals
2004,Basic metals,0,0,Basic metals
2005,Basic metals,0,0,Basic metals
2006,Basic metals,0,0,Basic metals
2007,Basic metals,0,0,Basic metals
2008,Basic metals,8,8,Basic metals
2009,Basic metals,10,18,Basic metals
2010,Basic metals,34,52,Basic metals
2011,Basic metals,220,272,Basic metals
2012,Basic metals,734,1006,Basic metals
2013,Basic metals,1501,2507,Basic metals
2014,Basic metals,1490,3997,Basic metals
2015,Basic metals,1237,5234,Basic metals
2016,Basic metals,877,6111,Basic metals
2017,Basic metals,1392,7503,Basic metals
